약물명 (성분명),약물 종류,위험 구간 (임신 주수),주의사항
아세트아미노펜 (Acetaminophen),해열·진통제,전 기간,일반의약품으로 임신 중 비교적 안전하게 사용 가능하나 최소한의 용량을 사용하고 장기간 복용은 피해야 함
이부프로펜 (Ibuprofen),소염·진통제,1~2기,임신 3기(28주 이후)에는 태아의 동맥관 조기 폐쇄 위험이 있으므로 사용을 피해야 함
독실아민 (Doxylamine),항히스타민제,전 기간,입덧 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
피리독신 (Pyridoxine 비타민 B6),비타민제,전 기간,입덧 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능하나 일일 권장용량이 낮고 이를 초과 복용 할 시 신경독성 위험이 있어 용량 조절에 주의가 필요함.
차전자피 (Psyllium),완하제,전 기간,변비 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
도큐세이트+비사코딜 (Docusate + Bisacodyl),완하제,전 기간,변비 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
비사코딜 (Bisacodyl),완하제,전 기간,변비 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
클로르페니라민 (Chlorpheniramine),항히스타민제,전 기간,항히스타민제로 알레르기 증상 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
로라타딘 (Loratadine),항히스타민제,전 기간,항히스타민제로 알레르기 증상 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
세티리진 (Cetirizine),항히스타민제,전 기간,항히스타민제로 알레르기 증상 완화에 사용되며 일반의약품으로 임신 중 비교적 안전하게 사용 가능
