약물명 (성분명),약물 종류,위험 구간 (임신 주수),주의사항
아세타졸아마이드 (Acetazolamide),탄산탈수효소 억제제 (녹내장 치료제),1기 (1~12주),태아 기형 위험이 보고되었으므로 1기 사용은 피해야 함로 2~3기 사용 시에도 의료진과 상담 필요
아시트레틴 (Acitretin),경구용 각화증 치료제,전 기간,태아 기형 유발 위험으로 사용 금지
아스피린 (Aspirin),해열진통제,3기 (28주 이후),태아의 동맥관 조기 폐쇄 및 출혈 위험 증가로 사용 금지
아토르바스타틴 (Atorvastatin),스타틴 계열 (이상지질혈증 치료제),전 기간,태아 기형 유발 위험으로 사용 금지
이소트레티노인 (Isotretinoin),여드름 치료제,전 기간,태아 기형 유발 위험으로 임신 중 사용 금지
이부프로펜 (Ibuprofen),해열진통제 (NSAIDs),3기 (28주 이후),태아의 동맥관 조기 폐쇄 위험으로 사용 금지
와파린 (Warfarin),항응고제,전 기간,태아 출혈 및 기형 유발 위험으로 사용 금지
카나마이신 (Kanamycin),항생제,전 기간,태아의 청각 손상 위험으로 사용 금지
카바마제핀 (Carbamazepine),항경련제 (정신과 질환 치료제),전 기간,태아 기형 유발 위험으로 사용 금지
클로르페니라민 (Chlorpheniramine),1세대 항히스타민제,전 기간,비교적 안전하나 의료진과 상담 후 사용 권장
클로트리마졸 (Clotrimazole),국소용 항진균제 (무좀 치료제),전 기간,국소 적용 시 비교적 안전하나 의료진과 상담 후 사용
나프록센 (Naproxen),해열진통제 (NSAIDs),3기 (28주 이후),태아의 동맥관 조기 폐쇄 위험으로 사용 금지
디아제팜 (Diazepam),벤조디아제핀 계열 (항불안제),전 기간,태아의 호흡 억제 및 근긴장 저하 위험으로 사용 주의
디펜히드라민 (Diphenhydramine),항히스타민제,전 기간,태아에 대한 안전성 데이터 부족으로 사용 주의
라미프릴 (Ramipril),ACE 억제제 (고혈압 치료제),2~3기 (13주 이후),태아 신장 기능 장애 및 양수 과소증 위험으로 사용 금지
레보티록신 (Levothyroxine),갑상선 호르몬제,전 기간,임신 중 갑상선 기능 저하증 치료에 사용되며 비교적 안전함
로라타딘 (Loratadine),2세대 항히스타민제,전 기간,비교적 안전하나 의료진과 상담 후 사용 권장
로사르탄 (Losartan),안지오텐신 II 수용체 차단제 (고혈압 치료제),2~3기 (13주 이후),태아 신장 기능 장애 및 양수 과소증 위험으로 사용 금지
리튬 (Lithium),기분 안정제,전 기간,태아 심장 기형 위험 증가로 사용 주의로 의료진과 상담 필수
메티마졸 (Methimazole),항갑상선제,2~3기 (13주 이후),임신 초기 사용 시 태아 기형 위험이 있으므로 2기 이후에 사용 권장
메트포르민 (Metformin),경구용 당뇨병 치료제,전 기간,임신 중 일부 당뇨병 환자에게 사용되며 비교적 안전하나 의료진과 상담 후 사용
발프로산 (Valproate),항경련제 (정신과 질환 치료제),전 기간,태아 신경관 결손 등 기형 유발 위험으로 사용 금지
벤조일 퍼옥사이드 (Benzoyl Peroxide),국소용 여드름 치료제,전 기간,국소 적용 시 비교적 안전하나 의료진과 상담 후 사용
베타히스틴 (Betahistine),항히스타민제 (메니에르병 치료제),전 기간,임신 중 안전성에 대한 충분한 데이터가 없으므로 사용 시 주의 필요로 의료진과 상담 후 결정
세티리진 (Cetirizine),항히스타민제,전 기간,비교적 안전하나 장기 복용은 주의 필요
스트렙토마이신 (Streptomycin),항생제,전 기간,태아의 청각 손상 위험으로 사용 금지
심바스타틴 (Simvastatin),스타틴 계열 (이상지질혈증 치료제),전 기간,태아 기형 유발 위험으로 사용 금지
엔알라프릴 (Enalapril),ACE 억제제 (고혈압 치료제),전 기간,태아 신장 기능 장애 및 기형 유발 위험으로 사용 금지
프로필티오우라실 (Propylthiouracil, PTU),항갑상선제,1기 (1~12주) 임신 초기 갑상선 기능 항진증 치료에 사용되며 이후 메티마졸로 전환 고려
플루옥세틴 (Fluoxetine),선택적 세로토닌 재흡수 억제제 (SSRI),전 기간,일부 연구에서 태아의 폐동맥 고혈압 위험 증가 보고로 의료진과 상담 후 사용
프레드니솔론 (Prednisolone),경구용 스테로이드제,전 기간,고용량 또는 장기 복용 시 태아 성장 지연 및 구순열 위험 증가로 의료진과 상담 후 사용
라타노프로스트 (Latanoprost),프로스타글란딘 유사체 (녹내장 치료제),전 기간,동물 실험에서 유산 및 태아 독성 보고로 임신 중 사용은 권장되지 않음
티몰롤 (Timolol),베타차단제 (녹내장 치료제),전 기간,태아 성장 지연 및 심박수 감소 위험로 사용 시 주의 필요
피록시캄 (Piroxicam),비스테로이드성 소염진통제 (메니에르병 관련 증상 완화),3기 (28주 이후),태아의 동맥관 조기 폐쇄 위험으로 사용 금지
